"data";"valor"
"01/01/1992";"25,49"
"01/02/1992";"23,31"
"01/03/1992";"21,20"
"01/04/1992";"20,04"
"01/05/1992";"25,81"
"01/06/1992";"20,35"
"01/07/1992";"21,42"
"01/08/1992";"21,32"
"01/09/1992";"25,28"
"01/10/1992";"25,94"
"01/11/1992";"23,42"
"01/12/1992";"25,36"
"01/01/1993";"29,91"
"01/02/1993";"24,24"
"01/03/1993";"27,76"
"01/04/1993";"27,50"
"01/05/1993";"27,37"
"01/06/1993";"30,05"
"01/07/1993";"29,90"
"01/08/1993";"32,52"
"01/09/1993";"35,60"
"01/10/1993";"33,78"
"01/11/1993";"35,58"
"01/12/1993";"36,97"
"01/01/1994";"41,96"
"01/02/1994";"39,88"
"01/03/1994";"43,01"
"01/04/1994";"42,78"
"01/05/1994";"43,82"
"01/06/1994";"48,32"
"01/07/1994";"7,22"
"01/08/1994";"2,19"
"01/09/1994";"1,81"
"01/10/1994";"3,15"
"01/11/1994";"3,36"
"01/12/1994";"1,96"
"01/01/1995";"1,98"
"01/02/1995";"1,10"
"01/03/1995";"1,72"
"01/04/1995";"2,73"
"01/05/1995";"2,99"
"01/06/1995";"1,78"
"01/07/1995";"1,92"
"01/08/1995";"0,95"
"01/09/1995";"0,93"
"01/10/1995";"1,16"
"01/11/1995";"1,33"
"01/12/1995";"1,14"
"01/01/1996";"1,45"
"01/02/1996";"0,55"
"01/03/1996";"0,37"
"01/04/1996";"0,85"
"01/05/1996";"1,35"
"01/06/1996";"0,90"
"01/07/1996";"0,87"
"01/08/1996";"0,31"
"01/09/1996";"0,13"
"01/10/1996";"0,32"
"01/11/1996";"0,28"
"01/12/1996";"0,30"
"01/01/1997";"0,87"
"01/02/1997";"0,54"
"01/03/1997";"0,49"
"01/04/1997";"0,29"
"01/05/1997";"0,18"
"01/06/1997";"0,10"
"01/07/1997";"0,08"
"01/08/1997";"-0,14"
"01/09/1997";"0,01"
"01/10/1997";"0,27"
"01/11/1997";"0,00"
"01/12/1997";"0,27"
"01/01/1998";"0,68"
"01/02/1998";"0,42"
"01/03/1998";"0,38"
"01/04/1998";"0,21"
"01/05/1998";"0,56"
"01/06/1998";"0,04"
"01/07/1998";"-0,19"
"01/08/1998";"-0,45"
"01/09/1998";"-0,24"
"01/10/1998";"0,05"
"01/11/1998";"-0,14"
"01/12/1998";"0,02"
"01/01/1999";"0,60"
"01/02/1999";"0,93"
"01/03/1999";"1,04"
"01/04/1999";"0,37"
"01/05/1999";"0,22"
"01/06/1999";"-0,10"
"01/07/1999";"0,10"
"01/08/1999";"0,24"
